k,sse,mdl,silhouette
1,33903.90415102106,3535.9593906488603,
2,15737.083577864994,3127.4519611930086,0.5955207405315346
3,3426.2572380059682,1818.0622740726385,0.7613478432173022
4,948.8903433376539,690.4020086018456,0.7911042588289479
5,862.0869480904158,718.4658916503189,0.6950968801867703
6,773.7699917326354,713.9744139353452,0.5672990315850852
7,741.6422513029466,761.071294722267,0.5437161080842459
8,649.3296732806389,707.339780319561,0.4194535466863849
9,607.0280831843332,711.2950109894122,0.42106403047953356
10,580.8235125143041,732.2763751536759,0.42219144175633383
