iteration,k,sse,mdl,operation
0,2,20753.144393867176,12330.320261669747,split
1,3,7983.959465267298,6302.209047730386,split
2,4,7308.07574950245,6235.785939487385,split
3,5,4946.806682599807,5280.115453479744,split
4,6,4435.066721954493,5219.762676073984,split
5,7,3869.767793830311,5112.309422680117,split
6,8,3379.65470590998,5027.57541769115,split
7,9,3090.6767728339005,5032.048951874266,split
8,10,2811.0956118533204,5032.259918106501,split
9,10,2790.123228090787,5021.773726225234,none
10,10,2767.1310178899007,5010.277621124791,none
11,10,2761.313642829986,5007.368933594833,none
12,10,2760.476601294937,5006.950412827309,none
13,10,2757.4858902954684,5005.455057327575,none
14,10,2753.249989059781,5003.3371067097305,none
15,10,2752.209533243012,5002.816878801346,none
16,10,2751.606086366549,5002.515155363115,none
17,10,2751.377464249087,5002.400844304384,none
18,10,2751.377464249087,5002.400844304384,none
19,10,2751.377464249087,5002.400844304384,none
20,10,2751.377464249087,5002.400844304384,none
21,10,2751.377464249087,5002.400844304384,none
22,10,2751.377464249087,5002.400844304384,none
